Order_ID,Order_Date,Customer_ID,Category,Product,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Customer_Segment
ORD-02881,2025-01-02,CUST-0725,Office Supplies,Printer Paper,East,Guwahati,2,32.6,0.05,61.94,37.72,24.22,Cash,Consumer
ORD-02524,2025-01-02,CUST-0414,Furniture,Table,Central,Bhopal,5,219.79,0.05,1044.0,829.15,214.85,Debit Card,Corporate
ORD-01717,2025-01-02,CUST-0699,Office Supplies,Notebook,Central,Indore,1,40.08,0.0,40.08,23.97,16.11,Credit Card,Consumer
ORD-03202,2025-01-03,CUST-0448,Office Supplies,Calculator,South,Chennai,6,39.71,0.0,238.26,162.12,76.14,Credit Card,Small Business
ORD-02693,2025-01-03,CUST-0655,Clothing,Jacket,Central,Bhopal,1,51.5,0.05,48.92,39.57,9.35,UPI,Consumer
ORD-01189,2025-01-03,CUST-1166,Office Supplies,Stapler,North,Chandigarh,6,26.7,0.05,152.19,110.87,41.32,Cash,Consumer
ORD-04729,2025-01-03,CUST-0879,Electronics,Keyboard,Central,Indore,1,445.5,0.1,400.95,268.11,132.84,UPI,Small Business
ORD-03875,2025-01-03,CUST-0074,Furniture,Cabinet,West,Pune,4,391.66,0.1,1409.98,929.44,480.54,Debit Card,Small Business
ORD-03076,2025-01-03,CUST-0266,Clothing,Jeans,West,Pune,6,60.11,0.05,342.63,211.45,131.18,Bank Transfer,Consumer
ORD-04227,2025-01-03,CUST-0382,Electronics,Smartphone,South,Bengaluru,5,503.41,0.05,2391.2,1834.67,556.53,Debit Card,Consumer
ORD-03805,2025-01-03,CUST-1138,Clothing,Sneakers,East,Bhubaneswar,8,74.74,0.2,478.34,287.02,191.32,Debit Card,Consumer
ORD-02123,2025-01-03,CUST-0128,Clothing,T-Shirt,East,Bhubaneswar,2,99.56,0.0,199.12,141.29,57.83,UPI,Small Business
ORD-03317,2025-01-03,CUST-0395,Home & Kitchen,Toaster,North,Chandigarh,2,128.08,0.0,256.16,168.95,87.21,Cash,Corporate
ORD-00125,2025-01-03,CUST-0087,Office Supplies,Printer Paper,South,Hyderabad,7,50.19,0.0,351.33,209.71,141.62,UPI,Consumer
ORD-04959,2025-01-03,CUST-0677,Home & Kitchen,Vacuum Cleaner,South,Chennai,6,147.67,0.15,753.12,530.29,222.83,UPI,Consumer
ORD-00477,2025-01-04,CUST-0197,Clothing,T-Shirt,West,Ahmedabad,2,54.04,0.1,97.27,82.83,14.44,Credit Card,Consumer
ORD-03375,2025-01-04,CUST-0704,Clothing,Jacket,West,Mumbai,6,58.46,0.0,350.76,234.68,116.08,Bank Transfer,Corporate
ORD-00066,2025-01-04,CUST-0504,Home & Kitchen,Coffee Maker,West,Ahmedabad,7,103.64,0.15,616.66,402.19,214.47,UPI,Small Business
ORD-01948,2025-01-04,CUST-1120,Home & Kitchen,Vacuum Cleaner,East,Kolkata,5,122.93,0.1,553.19,472.77,80.42,Debit Card,Corporate
ORD-00894,2025-01-04,CUST-0997,Clothing,T-Shirt,East,Kolkata,5,55.41,0.05,263.2,179.2,84.0,UPI,Small Business
ORD-00888,2025-01-04,CUST-0771,Office Supplies,Notebook,East,Bhubaneswar,8,20.08,0.05,152.61,105.42,47.19,UPI,Consumer
ORD-03175,2025-01-04,CUST-0521,Furniture,Office Chair,East,Guwahati,3,251.09,0.0,753.27,527.5,225.77,UPI,Corporate
ORD-01156,2025-01-04,CUST-0511,Electronics,Keyboard,North,Delhi,5,427.83,0.0,2139.15,1260.58,878.57,UPI,Consumer
ORD-02222,2025-01-04,CUST-1129,Furniture,Table,West,Pune,7,168.44,0.0,1179.08,845.34,333.74,Credit Card,Small Business
ORD-00406,2025-01-04,CUST-0071,Furniture,Table,Central,Indore,1,254.95,0.1,229.46,177.95,51.51,UPI,Small Business
ORD-03573,2025-01-04,CUST-1097,Clothing,Jacket,Central,Bhopal,8,64.73,0.1,466.06,396.88,69.18,Credit Card,Consumer
ORD-03220,2025-01-05,CUST-0522,Office Supplies,Stapler,North,Chandigarh,1,29.23,0.05,27.77,23.22,4.55,Bank Transfer,Corporate
ORD-01876,2025-01-05,CUST-0518,Home & Kitchen,Toaster,Central,Nagpur,7,79.27,0.15,471.66,289.39,182.27,Credit Card,Corporate
ORD-03132,2025-01-05,CUST-0545,Home & Kitchen,Coffee Maker,North,Delhi,3,148.97,0.15,379.87,221.02,158.85,Bank Transfer,Consumer
ORD-03925,2025-01-05,CUST-0905,Electronics,Laptop,South,Bengaluru,6,615.41,0.15,3138.59,1998.64,1139.95,UPI,Small Business
ORD-03351,2025-01-05,CUST-1014,Clothing,Sneakers,East,Guwahati,6,61.58,0.0,369.48,289.43,80.05,UPI,Corporate
ORD-03089,2025-01-05,CUST-1170,Home & Kitchen,Vacuum Cleaner,West,Pune,2,132.69,0.0,265.38,178.5,86.88,Credit Card,Consumer
ORD-00235,2025-01-05,CUST-0883,Furniture,Table,Central,Indore,1,254.68,0.0,254.68,216.86,37.82,UPI,Small Business
ORD-02652,2025-01-05,CUST-0500,Electronics,Headphones,West,Mumbai,4,414.39,0.0,1657.56,1246.17,411.39,Debit Card,Consumer
ORD-04535,2025-01-05,CUST-1114,Clothing,Sneakers,Central,Indore,5,56.07,0.1,252.32,174.72,77.6,Debit Card,Consumer
ORD-02492,2025-01-05,CUST-0759,Electronics,Headphones,North,Chandigarh,4,428.73,0.05,1629.17,1250.09,379.08,Debit Card,Consumer
ORD-04117,2025-01-05,CUST-0113,Electronics,Smartphone,West,Pune,5,513.31,0.0,2566.55,1605.17,961.38,Credit Card,Consumer
ORD-01399,2025-01-05,CUST-0278,Clothing,T-Shirt,East,Bhubaneswar,1,54.17,0.15,46.04,29.45,16.59,Debit Card,Consumer
ORD-03611,2025-01-05,CUST-0619,Electronics,Headphones,North,Chandigarh,3,334.99,0.15,854.22,731.89,122.33,Bank Transfer,Consumer
ORD-00488,2025-01-05,CUST-0366,Clothing,T-Shirt,Central,Bhopal,3,62.72,0.15,159.94,120.69,39.25,Debit Card,Consumer
ORD-02347,2025-01-06,CUST-0680,Electronics,Monitor,Central,Indore,8,326.98,0.15,2223.46,1827.93,395.53,UPI,Consumer
ORD-01248,2025-01-06,CUST-0979,Electronics,Laptop,North,Jaipur,2,450.57,0.05,856.08,571.67,284.41,Bank Transfer,Corporate
ORD-03079,2025-01-06,CUST-1120,Electronics,Keyboard,Central,Bhopal,5,700.31,0.1,3151.4,1883.63,1267.77,Bank Transfer,Consumer
ORD-02727,2025-01-06,CUST-0174,Furniture,Cabinet,West,Mumbai,5,174.41,0.2,697.64,485.38,212.26,Credit Card,Small Business
ORD-04421,2025-01-06,CUST-1186,Clothing,T-Shirt,West,Ahmedabad,2,79.16,0.1,142.49,107.84,34.65,UPI,Consumer
ORD-01049,2025-01-06,CUST-0891,Home & Kitchen,Vacuum Cleaner,North,Chandigarh,3,124.94,0.05,356.08,235.67,120.41,Credit Card,Consumer
ORD-04089,2025-01-06,CUST-1023,Electronics,Headphones,South,Bengaluru,8,385.02,0.0,3080.16,2215.51,864.65,UPI,Small Business
ORD-03114,2025-01-07,CUST-0752,Office Supplies,Notebook,East,Guwahati,4,32.67,0.0,130.68,98.76,31.92,UPI,Consumer
ORD-03365,2025-01-07,CUST-0519,Office Supplies,Notebook,Central,Indore,1,39.31,0.0,39.31,26.22,13.09,Credit Card,Corporate
ORD-00405,2025-01-07,CUST-0381,Office Supplies,Printer Paper,North,Jaipur,6,32.4,0.0,194.4,127.04,67.36,Credit Card,Small Business
ORD-04354,2025-01-07,CUST-0063,Home & Kitchen,Coffee Maker,Central,Nagpur,4,129.49,0.2,414.37,275.84,138.53,Bank Transfer,Consumer
ORD-01065,2025-01-07,CUST-0423,Home & Kitchen,Toaster,East,Guwahati,6,139.56,0.1,753.62,484.01,269.61,UPI,Consumer
ORD-02299,2025-01-07,CUST-0259,Clothing,Jacket,North,Jaipur,7,64.47,0.1,406.16,347.12,59.04,Credit Card,Corporate
ORD-00517,2025-01-07,CUST-0325,Electronics,Keyboard,Central,Bhopal,5,331.3,0.0,1656.5,1071.51,584.99,UPI,Consumer
ORD-03848,2025-01-07,CUST-0304,Home & Kitchen,Coffee Maker,North,Jaipur,4,114.07,0.0,456.28,359.08,97.2,Cash,Consumer
ORD-00591,2025-01-07,CUST-0380,Home & Kitchen,Coffee Maker,South,Bengaluru,6,123.38,0.0,740.28,507.86,232.42,UPI,Small Business
ORD-03531,2025-01-07,CUST-0354,Electronics,Smartphone,West,Mumbai,6,457.87,0.0,2747.22,2243.32,503.9,Cash,Small Business
ORD-03262,2025-01-07,CUST-0086,Furniture,Desk,East,Bhubaneswar,4,265.98,0.15,904.33,737.93,166.4,Bank Transfer,Corporate
ORD-00227,2025-01-07,CUST-1007,Clothing,T-Shirt,South,Bengaluru,4,57.68,0.05,219.18,150.38,68.8,Credit Card,Consumer
ORD-02604,2025-01-07,CUST-0181,Electronics,Monitor,West,Pune,7,455.26,0.1,2868.14,1900.49,967.65,UPI,Consumer
ORD-01620,2025-01-07,CUST-0922,Clothing,T-Shirt,West,Ahmedabad,7,61.83,0.1,389.53,267.57,121.96,Bank Transfer,Consumer
ORD-03061,2025-01-08,CUST-0812,Electronics,Keyboard,Central,Nagpur,7,434.92,0.0,3044.44,1954.04,1090.4,UPI,Consumer
ORD-00397,2025-01-08,CUST-0212,Furniture,Desk,Central,Indore,5,210.96,0.1,949.32,727.8,221.52,UPI,Corporate
ORD-03448,2025-01-08,CUST-0790,Office Supplies,Stapler,West,Ahmedabad,6,40.28,0.05,229.6,166.49,63.11,Bank Transfer,Consumer
ORD-00048,2025-01-08,CUST-0698,Home & Kitchen,Vacuum Cleaner,West,Mumbai,2,96.98,0.0,193.96,137.68,56.28,Credit Card,Consumer
ORD-04373,2025-01-08,CUST-1063,Office Supplies,Calculator,Central,Bhopal,5,30.51,0.0,152.55,125.41,27.14,Debit Card,Consumer
ORD-00641,2025-01-08,CUST-0716,Home & Kitchen,Vacuum Cleaner,Central,Nagpur,2,122.95,0.15,209.02,124.15,84.87,UPI,Consumer
ORD-03241,2025-01-08,CUST-0424,Office Supplies,Notebook,North,Chandigarh,2,36.73,0.0,73.46,52.56,20.9,UPI,Consumer
ORD-01352,2025-01-08,CUST-0304,Clothing,T-Shirt,West,Pune,2,95.0,0.15,161.5,102.28,59.22,Cash,Corporate
ORD-00825,2025-01-08,CUST-1139,Office Supplies,Printer Paper,North,Chandigarh,5,49.8,0.05,236.55,165.8,70.75,Credit Card,Corporate
ORD-00805,2025-01-08,CUST-0655,Clothing,Backpack,South,Chennai,1,24.67,0.1,22.2,18.9,3.3,Credit Card,Corporate
ORD-01310,2025-01-08,CUST-0273,Office Supplies,Stapler,West,Ahmedabad,5,36.38,0.1,163.71,101.72,61.99,Credit Card,Consumer
ORD-03992,2025-01-08,CUST-0803,Furniture,Desk,West,Pune,6,276.68,0.0,1660.08,1029.51,630.57,Debit Card,Corporate
ORD-01000,2025-01-08,CUST-0293,Home & Kitchen,Vacuum Cleaner,North,Chandigarh,1,131.65,0.0,131.65,101.34,30.31,Debit Card,Consumer
ORD-04432,2025-01-08,CUST-0336,Furniture,Bookshelf,North,Chandigarh,4,264.76,0.05,1006.09,795.09,211.0,UPI,Consumer
ORD-00214,2025-01-08,CUST-0438,Clothing,T-Shirt,South,Bengaluru,5,77.43,0.1,348.44,210.12,138.32,UPI,Corporate
ORD-01186,2025-01-08,CUST-0669,Office Supplies,Notebook,East,Kolkata,8,27.22,0.0,217.76,157.01,60.75,Debit Card,Consumer
ORD-03379,2025-01-08,CUST-1024,Clothing,T-Shirt,East,Guwahati,5,58.39,0.1,262.76,199.76,63.0,UPI,Consumer
ORD-00107,2025-01-09,CUST-0975,Home & Kitchen,Blender,South,Chennai,7,139.76,0.0,978.32,679.31,299.01,Credit Card,Corporate
ORD-04176,2025-01-09,CUST-0321,Electronics,Keyboard,West,Mumbai,1,479.21,0.0,479.21,315.76,163.45,Credit Card,Consumer
ORD-01954,2025-01-09,CUST-0970,Home & Kitchen,Vacuum Cleaner,West,Mumbai,6,108.45,0.15,553.1,375.33,177.77,Cash,Consumer
ORD-04521,2025-01-09,CUST-0114,Home & Kitchen,Vacuum Cleaner,South,Hyderabad,8,98.31,0.05,747.16,467.92,279.24,Bank Transfer,Consumer
ORD-03811,2025-01-09,CUST-1004,Office Supplies,Stapler,East,Bhubaneswar,7,52.61,0.0,368.27,276.69,91.58,Credit Card,Consumer
ORD-02675,2025-01-09,CUST-0017,Office Supplies,Pen Set,East,Bhubaneswar,7,23.15,0.2,129.64,109.05,20.59,Debit Card,Consumer
ORD-04536,2025-01-09,CUST-1006,Office Supplies,Stapler,Central,Nagpur,2,36.59,0.15,62.2,42.93,19.27,Debit Card,Consumer
ORD-01019,2025-01-09,CUST-0059,Office Supplies,Printer Paper,Central,Nagpur,3,47.27,0.1,127.63,82.33,45.3,UPI,Consumer
ORD-03035,2025-01-09,CUST-0151,Electronics,Smartphone,West,Ahmedabad,5,280.69,0.05,1333.28,970.48,362.8,Debit Card,Consumer
ORD-03368,2025-01-09,CUST-0229,Furniture,Desk,South,Chennai,2,198.24,0.1,356.83,237.81,119.02,UPI,Consumer
ORD-04334,2025-01-09,CUST-1035,Home & Kitchen,Blender,North,Jaipur,7,139.6,0.15,830.62,653.27,177.35,UPI,Small Business
ORD-04028,2025-01-09,CUST-0320,Electronics,Monitor,Central,Indore,1,397.54,0.0,397.54,290.94,106.6,UPI,Consumer
ORD-02458,2025-01-09,CUST-0467,Electronics,Keyboard,Central,Indore,3,257.1,0.2,617.04,503.64,113.4,Bank Transfer,Consumer
ORD-02755,2025-01-09,CUST-0003,Office Supplies,Printer Paper,West,Ahmedabad,6,41.59,0.15,212.11,162.6,49.51,UPI,Corporate
ORD-00726,2025-01-10,CUST-0769,Office Supplies,Pen Set,South,Chennai,7,35.29,0.05,234.68,155.27,79.41,Credit Card,Small Business
ORD-02941,2025-01-10,CUST-0064,Clothing,Jeans,Central,Indore,1,55.02,0.0,55.02,42.81,12.21,Credit Card,Small Business
ORD-04524,2025-01-10,CUST-0306,Office Supplies,Calculator,North,Jaipur,3,35.69,0.05,101.72,60.27,41.45,UPI,Consumer
ORD-04658,2025-01-10,CUST-0517,Office Supplies,Notebook,North,Delhi,2,25.93,0.0,51.86,39.21,12.65,UPI,Consumer
ORD-00174,2025-01-10,CUST-0488,Clothing,Sneakers,South,Hyderabad,7,59.21,0.0,414.47,309.85,104.62,UPI,Consumer
ORD-00511,2025-01-10,CUST-1051,Electronics,Laptop,Central,Bhopal,7,416.58,0.0,2916.06,2110.07,805.99,UPI,Corporate
ORD-03639,2025-01-10,CUST-0675,Electronics,Laptop,West,Mumbai,7,516.96,0.05,3437.78,2492.29,945.49,Debit Card,Small Business
ORD-03691,2025-01-10,CUST-0544,Electronics,Monitor,West,Pune,4,551.36,0.0,2205.44,1416.35,789.09,UPI,Corporate
ORD-02336,2025-01-10,CUST-0011,Home & Kitchen,Coffee Maker,South,Hyderabad,1,171.92,0.2,137.54,103.77,33.77,Debit Card,Corporate
ORD-02330,2025-01-10,CUST-0770,Office Supplies,Calculator,West,Mumbai,4,35.36,0.0,141.44,112.0,29.44,UPI,Consumer
ORD-02519,2025-01-10,CUST-1122,Office Supplies,Notebook,Central,Bhopal,5,42.55,0.0,212.75,180.83,31.92,Debit Card,Consumer
ORD-04687,2025-01-10,CUST-0545,Home & Kitchen,Blender,Central,Bhopal,6,106.42,0.1,574.67,471.04,103.63,Cash,Consumer
ORD-01941,2025-01-10,CUST-0324,Furniture,Desk,West,Ahmedabad,1,321.73,0.15,273.47,164.73,108.74,Bank Transfer,Small Business
ORD-04901,2025-01-11,CUST-0529,Office Supplies,Stapler,Central,Nagpur,6,42.49,0.0,254.94,196.23,58.71,UPI,Consumer
ORD-03145,2025-01-11,CUST-0951,Office Supplies,Pen Set,East,Guwahati,5,30.62,0.1,137.79,92.52,45.27,UPI,Consumer
ORD-02027,2025-01-11,CUST-0087,Electronics,Laptop,Central,Indore,6,470.33,0.15,2398.68,1423.4,975.28,Cash,Small Business
ORD-02637,2025-01-11,CUST-1066,Furniture,Desk,Central,Nagpur,8,245.81,0.2,1573.18,1207.95,365.23,UPI,Corporate
ORD-01893,2025-01-11,CUST-1063,Clothing,Jacket,East,Kolkata,6,68.73,0.05,391.76,263.53,128.23,Credit Card,Consumer
ORD-00400,2025-01-11,CUST-0902,Office Supplies,Pen Set,South,Chennai,6,29.38,0.05,167.47,109.88,57.59,Debit Card,Consumer
ORD-02668,2025-01-11,CUST-0312,Clothing,Jeans,Central,Bhopal,4,47.4,0.15,161.16,106.56,54.6,Cash,Corporate
ORD-03238,2025-01-11,CUST-0245,Electronics,Monitor,West,Mumbai,3,750.48,0.0,2251.44,1369.75,881.69,UPI,Consumer
ORD-03064,2025-01-11,CUST-1026,Electronics,Keyboard,West,Pune,7,560.46,0.0,3923.22,2728.51,1194.71,UPI,Consumer
ORD-03134,2025-01-11,CUST-1038,Home & Kitchen,Toaster,South,Hyderabad,7,134.13,0.0,938.91,585.78,353.13,Debit Card,Corporate
ORD-02536,2025-01-12,CUST-0235,Office Supplies,Pen Set,North,Chandigarh,3,43.0,0.05,122.55,75.67,46.88,Debit Card,Consumer
ORD-00600,2025-01-12,CUST-1035,Clothing,T-Shirt,East,Guwahati,2,51.58,0.0,103.16,60.92,42.24,Debit Card,Consumer
ORD-01265,2025-01-12,CUST-0098,Office Supplies,Notebook,South,Hyderabad,7,41.57,0.1,261.89,185.58,76.31,UPI,Small Business
ORD-03872,2025-01-12,CUST-0954,Home & Kitchen,Coffee Maker,East,Bhubaneswar,5,89.08,0.2,356.32,288.07,68.25,Debit Card,Consumer
ORD-03551,2025-01-12,CUST-1168,Clothing,T-Shirt,East,Bhubaneswar,6,44.03,0.2,211.34,170.07,41.27,UPI,Consumer
ORD-04436,2025-01-12,CUST-0478,Office Supplies,Calculator,North,Delhi,7,41.47,0.1,261.26,176.28,84.98,Credit Card,Corporate
ORD-03436,2025-01-12,CUST-1172,Clothing,Jacket,East,Guwahati,5,54.53,0.05,259.02,156.17,102.85,Credit Card,Consumer
ORD-01551,2025-01-12,CUST-0029,Office Supplies,Printer Paper,West,Ahmedabad,4,31.88,0.0,127.52,77.43,50.09,UPI,Corporate
ORD-01711,2025-01-12,CUST-1117,Clothing,Jacket,North,Jaipur,6,57.91,0.2,277.97,207.86,70.11,Cash,Consumer
ORD-00386,2025-01-12,CUST-0962,Electronics,Monitor,Central,Nagpur,3,373.84,0.1,1009.37,753.38,255.99,Cash,Consumer
ORD-01021,2025-01-12,CUST-0506,Electronics,Smartphone,South,Hyderabad,3,593.9,0.05,1692.61,1287.1,405.51,Debit Card,Consumer
ORD-00824,2025-01-13,CUST-0448,Electronics,Smartphone,West,Ahmedabad,3,359.33,0.1,970.19,631.19,339.0,Bank Transfer,Consumer
ORD-03006,2025-01-13,CUST-0437,Office Supplies,Notebook,East,Guwahati,7,35.99,0.05,239.33,156.33,83.0,UPI,Consumer
ORD-02381,2025-01-13,CUST-0876,Home & Kitchen,Toaster,East,Bhubaneswar,1,93.75,0.0,93.75,72.39,21.36,Debit Card,Consumer
ORD-04243,2025-01-13,CUST-1023,Office Supplies,Calculator,South,Chennai,3,32.15,0.05,91.63,63.98,27.65,UPI,Consumer
ORD-00344,2025-01-13,CUST-0276,Electronics,Smartphone,West,Ahmedabad,5,351.34,0.15,1493.19,1197.43,295.76,Debit Card,Consumer
ORD-00166,2025-01-13,CUST-0338,Clothing,Jeans,Central,Bhopal,5,71.43,0.15,303.58,229.57,74.01,Credit Card,Consumer
ORD-00665,2025-01-13,CUST-0653,Electronics,Monitor,Central,Bhopal,4,534.4,0.0,2137.6,1753.8,383.8,UPI,Consumer
ORD-01457,2025-01-13,CUST-0106,Electronics,Keyboard,West,Ahmedabad,1,350.34,0.05,332.82,201.84,130.98,Credit Card,Consumer
ORD-01689,2025-01-13,CUST-0213,Clothing,Jacket,North,Chandigarh,3,78.46,0.1,211.84,156.68,55.16,Debit Card,Small Business
ORD-03911,2025-01-13,CUST-0206,Furniture,Desk,South,Bengaluru,6,182.46,0.1,985.28,597.87,387.41,Debit Card,Corporate
ORD-04359,2025-01-13,CUST-0586,Furniture,Cabinet,South,Chennai,7,296.34,0.05,1970.66,1341.8,628.86,Bank Transfer,Small Business
ORD-00027,2025-01-13,CUST-0512,Clothing,Jacket,South,Bengaluru,4,67.73,0.1,243.83,185.8,58.03,Debit Card,Consumer
ORD-01041,2025-01-13,CUST-0193,Home & Kitchen,Vacuum Cleaner,Central,Indore,7,103.7,0.1,653.31,385.13,268.18,UPI,Consumer
ORD-00570,2025-01-13,CUST-0371,Clothing,T-Shirt,East,Kolkata,3,91.69,0.1,247.56,154.48,93.08,UPI,Corporate
ORD-00336,2025-01-13,CUST-0166,Clothing,Sneakers,North,Delhi,8,53.06,0.2,339.58,213.13,126.45,Bank Transfer,Consumer
ORD-00944,2025-01-14,CUST-0872,Home & Kitchen,Toaster,West,Mumbai,8,138.89,0.1,1000.01,701.94,298.07,UPI,Corporate
ORD-03694,2025-01-14,CUST-0288,Office Supplies,Calculator,Central,Bhopal,1,38.0,0.1,34.2,22.63,11.57,Bank Transfer,Consumer
ORD-04068,2025-01-14,CUST-0834,Office Supplies,Pen Set,West,Ahmedabad,3,28.37,0.05,80.85,48.78,32.07,Credit Card,Corporate
ORD-00794,2025-01-14,CUST-0565,Furniture,Desk,Central,Bhopal,7,318.34,0.15,1894.12,1549.8,344.32,Credit Card,Consumer
ORD-01238,2025-01-14,CUST-0138,Home & Kitchen,Toaster,North,Delhi,5,111.75,0.0,558.75,337.81,220.94,UPI,Consumer
ORD-02205,2025-01-14,CUST-0081,Office Supplies,Printer Paper,Central,Bhopal,8,30.44,0.1,219.17,170.07,49.1,UPI,Consumer
ORD-00876,2025-01-14,CUST-0383,Furniture,Cabinet,Central,Indore,2,204.86,0.0,409.72,297.51,112.21,Credit Card,Consumer
ORD-01585,2025-01-14,CUST-1182,Home & Kitchen,Toaster,South,Hyderabad,6,150.38,0.1,812.05,545.51,266.54,Bank Transfer,Consumer
ORD-03608,2025-01-14,CUST-0659,Home & Kitchen,Coffee Maker,West,Pune,6,145.9,0.05,831.63,713.37,118.26,UPI,Small Business
ORD-03425,2025-01-14,CUST-0003,Clothing,Sneakers,East,Guwahati,6,37.92,0.0,227.52,167.6,59.92,Debit Card,Consumer
ORD-00047,2025-01-14,CUST-0971,Home & Kitchen,Coffee Maker,North,Delhi,7,184.6,0.05,1227.59,1021.75,205.84,Debit Card,Small Business
ORD-00165,2025-01-14,CUST-0405,Clothing,Jacket,East,Bhubaneswar,7,73.18,0.0,512.26,356.8,155.46,Credit Card,Consumer
ORD-03543,2025-01-14,CUST-0926,Clothing,Backpack,Central,Bhopal,2,65.73,0.05,124.89,103.77,21.12,Debit Card,Consumer
ORD-03119,2025-01-14,CUST-1196,Office Supplies,Pen Set,West,Ahmedabad,7,42.37,0.2,237.27,181.1,56.17,UPI,Corporate
ORD-02515,2025-01-14,CUST-0333,Electronics,Smartphone,West,Pune,4,526.58,0.05,2001.0,1568.18,432.82,UPI,Corporate
ORD-01568,2025-01-14,CUST-0023,Clothing,Jacket,North,Jaipur,1,69.83,0.1,62.85,47.26,15.59,UPI,Consumer
ORD-01913,2025-01-15,CUST-0087,Furniture,Table,East,Guwahati,8,300.9,0.0,2407.2,1644.16,763.04,UPI,Consumer
ORD-01622,2025-01-15,CUST-1067,Furniture,Cabinet,East,Kolkata,1,303.05,0.1,272.74,208.85,63.89,UPI,Consumer
ORD-01647,2025-01-15,CUST-1024,Electronics,Keyboard,West,Ahmedabad,6,490.55,0.1,2648.97,1921.54,727.43,Bank Transfer,Small Business
ORD-00942,2025-01-15,CUST-0035,Electronics,Monitor,East,Bhubaneswar,7,494.95,0.1,3118.18,2544.52,573.66,Debit Card,Consumer
ORD-00647,2025-01-15,CUST-1190,Electronics,Laptop,Central,Indore,5,502.11,0.05,2385.02,1643.95,741.07,UPI,Consumer
ORD-03374,2025-01-15,CUST-0853,Electronics,Laptop,Central,Bhopal,1,203.01,0.05,192.86,145.72,47.14,Credit Card,Consumer
ORD-04756,2025-01-15,CUST-0692,Office Supplies,Calculator,West,Mumbai,5,43.3,0.0,216.5,162.34,54.16,Credit Card,Consumer
ORD-00573,2025-01-15,CUST-0978,Clothing,Jeans,Central,Nagpur,4,55.9,0.0,223.6,177.47,46.13,Credit Card,Small Business
ORD-03908,2025-01-15,CUST-1175,Electronics,Headphones,South,Hyderabad,7,525.57,0.05,3495.04,2144.74,1350.3,Bank Transfer,Consumer
ORD-04396,2025-01-15,CUST-0409,Electronics,Headphones,West,Ahmedabad,1,331.26,0.0,331.26,201.33,129.93,Credit Card,Consumer
